type,theme,count,percent,percent_count,dcat_theme_new
County, Constituent Satisfaction Survey Results,4,0.0367343190375608,0.04% (4),
City, Planning & Transportation,1,0.0046877929870616,0.00% (1),Transportation
Federal,"""Education"",""Science and Engineering Workforce""",2,0.002876580321314,0.00% (2),Education
Federal,1993_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,1993_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,1994_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,1994_GR_NASA,2,0.002876580321314,0.00% (2),
Federal,1995_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,1995_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,1996_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,1996_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,1997_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,1997_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,1998_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,1998_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,1999_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,1999_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,2000_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,2000_GR_NASA,2,0.002876580321314,0.00% (2),
Federal,2001_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,2001_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,2002_AN_NASA,3,0.004314870481971,0.00% (3),
Federal,2002_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,2003_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,2003_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,2004_AN_NASA,3,0.004314870481971,0.00% (3),
Federal,2004_GR_NASA,2,0.002876580321314,0.00% (2),
Federal,2005_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,2005_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,2006_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,2006_GR_NASA,3,0.004314870481971,0.00% (3),
Federal,2007_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,2007_GR_NASA,4,0.005753160642628,0.01% (4),
Federal,2008_AN_NASA,2,0.002876580321314,0.00% (2),
Federal,2008_AN_UTIG,11,0.0158211917672271,0.02% (11),
Federal,2008_GR_NASA,2,0.002876580321314,0.00% (2),
Federal,2008_GR_UTIG,4,0.005753160642628,0.01% (4),
Federal,2009_AK_NASA,3,0.004314870481971,0.00% (3),
Federal,2009_AK_UAF,4,0.005753160642628,0.01% (4),
Federal,2009_AN_CRESIS,1,0.001438290160657,0.00% (1),
Federal,2009_AN_NASA,22,0.0316423835344542,0.03% (22),
Federal,2009_AN_UTIG,11,0.0158211917672271,0.02% (11),
Federal,2009_GR_NASA,17,0.0244509327311691,0.02% (17),
Federal,2009_GR_UTIG,4,0.005753160642628,0.01% (4),
Federal,2010 Facility Quality and Safety Report,1,0.001438290160657,0.00% (1),Health and Safety
Federal,2010_AK_NASA,3,0.004314870481971,0.00% (3),
Federal,2010_AK_UAF,3,0.004314870481971,0.00% (3),
Federal,2010_AN_NASA,23,0.0330806736951112,0.03% (23),
Federal,2010_AN_UTIG,14,0.0201360622491981,0.02% (14),
Federal,2010_GR_NASA,24,0.0345189638557682,0.03% (24),
Federal,2010_GR_UTIG,4,0.005753160642628,0.01% (4),
Federal,2011_AK_NASA,3,0.004314870481971,0.00% (3),
Federal,2011_AK_UAF,3,0.004314870481971,0.00% (3),
Federal,2011_AN_NASA,24,0.0345189638557682,0.03% (24),
Federal,2011_AN_UTIG,15,0.0215743524098551,0.02% (15),
Federal,2011_GR_NASA,26,0.0373955441770822,0.04% (26),
Federal,2011_GR_UTIG,4,0.005753160642628,0.01% (4),
Federal,2012_AK_NASA,3,0.004314870481971,0.00% (3),
Federal,2012_AK_UAF,3,0.004314870481971,0.00% (3),
Federal,2012_AN_NASA,22,0.0316423835344542,0.03% (22),
Federal,2012_AN_UTIG,15,0.0215743524098551,0.02% (15),
Federal,2012_GR_GBMF,1,0.001438290160657,0.00% (1),
Federal,2012_GR_NASA,27,0.0388338343377392,0.04% (27),
Federal,2012_GR_UTIG,4,0.005753160642628,0.01% (4),
Federal,2012_PA_GBMF,1,0.001438290160657,0.00% (1),
Federal,2013_AK_NASA,3,0.004314870481971,0.00% (3),
Federal,2013_AK_UAF,3,0.004314870481971,0.00% (3),
Federal,2013_AN_NASA,25,0.0359572540164252,0.04% (25),
Federal,2013_AN_UTIG,9,0.0129446114459131,0.01% (9),
Federal,2013_GR_NASA,30,0.0431487048197103,0.04% (30),
Federal,2013_GR_UTIG,4,0.005753160642628,0.01% (4),
Federal,2014_AK_ARISE,4,0.005753160642628,0.01% (4),
Federal,2014_AK_NASA,3,0.004314870481971,0.00% (3),
Federal,2014_AK_UAF,2,0.002876580321314,0.00% (2),
Federal,2014_AN_NASA,22,0.0316423835344542,0.03% (22),
Federal,2014_AN_UTIG,8,0.011506321285256,0.01% (8),
Federal,2014_GR_NASA,24,0.0345189638557682,0.03% (24),
Federal,2014_GR_UTIG,4,0.005753160642628,0.01% (4),
Federal,2015_AK_NASA,3,0.004314870481971,0.00% (3),
Federal,2015_AK_UAF,3,0.004314870481971,0.00% (3),
Federal,2015_AN_NASA,24,0.0345189638557682,0.03% (24),
Federal,2015_AN_UTIG,8,0.011506321285256,0.01% (8),
Federal,2015_GR_NASA,24,0.0345189638557682,0.03% (24),
Federal,2015_GR_UTIG,4,0.005753160642628,0.01% (4),
Federal,2016_AK_NASA,4,0.005753160642628,0.01% (4),
Federal,2016_AK_UAF,3,0.004314870481971,0.00% (3),
Federal,2016_AN_NASA,20,0.0287658032131402,0.03% (20),
Federal,2016_AN_UTIG,4,0.005753160642628,0.01% (4),
Federal,2016_GR_NASA,19,0.0273275130524832,0.03% (19),
Federal,2016_GR_UTIG,4,0.005753160642628,0.01% (4),
Federal,2016_PA_GBMF,1,0.001438290160657,0.00% (1),
Federal,2017_AK_UAF,2,0.002876580321314,0.00% (2),
Federal,2017_AN_NASA,18,0.0258892228918262,0.03% (18),
Federal,2017_AN_UAF,1,0.001438290160657,0.00% (1),
Federal,2017_GR_NASA,24,0.0345189638557682,0.03% (24),
Federal,2018_AK_NASA,1,0.001438290160657,0.00% (1),
Federal,2018_AK_UAF,2,0.002876580321314,0.00% (2),
Federal,2018_AN_NASA,13,0.0186977720885411,0.02% (13),
Federal,2018_GR_NASA,19,0.0273275130524832,0.03% (19),
Federal,2019_AK_UAF,2,0.002876580321314,0.00% (2),
Federal,2019_AN_NASA,13,0.0186977720885411,0.02% (13),
Federal,2019_GR_NASA,14,0.0201360622491981,0.02% (14),
Federal,2020_AK_UAF,2,0.002876580321314,0.00% (2),
Federal,2021_AK_UAF,2,0.002876580321314,0.00% (2),
County,311,2,0.0183671595187804,0.02% (2),
City,311,17,0.0796924807800487,0.08% (17),
City,311 Call Center,1,0.0046877929870616,0.00% (1),
Federal,500 Cities & Places,102,0.1467055963870151,0.15% (102),
City,?,1,0.0046877929870616,0.00% (1),
City,A Prosperous City,1,0.0046877929870616,0.00% (1),
City,A Well Run City,1,0.0046877929870616,0.00% (1),
Federal,A list of select adequacy determinations,1,0.001438290160657,0.00% (1),
Federal,ABR 2012,50,0.0719145080328505,0.07% (50),
Federal,ABR Reports,48,0.0690379277115365,0.07% (48),
Federal,ABoVE,232,0.3336833172724265,0.33% (232),
Federal,ACCLIP,8,0.011506321285256,0.01% (8),
Federal,ACCP,6,0.008629740963942,0.01% (6),
Federal,ACEPOL,6,0.008629740963942,0.01% (6),
Federal,ACES,6,0.008629740963942,0.01% (6),
