type,theme,count,percent,percent_count
Federal,Transportation,14785,21.26512002531391,21.27% (14785)
State,geospatial,10784,35.59193372718571,35.59% (10784)
Federal,geospatial,10761,15.477440418830094,15.48% (10761)
Federal,Earth Science,10297,14.81007378428524,14.81% (10297)
City,geospatial,10249,48.04519032439528,48.05% (10249)
County,geospatial,8450,77.60124896684728,77.60% (8450)
State,Natural Resources,3119,10.294069111191789,10.29% (3119)
State,Water,2716,8.963992210964058,8.96% (2716)
State,Health,1868,6.165219974256576,6.17% (1868)
City,Education,1377,6.455090943183948,6.46% (1377)
State,Education,1315,4.340077230271626,4.34% (1315)
City,City Government,1104,5.175323457716107,5.18% (1104)
State,Health and Human Services,929,3.0661077923363806,3.07% (929)
State,Energy & Environment,770,2.5413379979537276,2.54% (770)
City,Housing & Properties,740,3.4689668104256515,3.47% (740)
City,Public Safety,732,3.4314644665291585,3.43% (732)
Federal,Research and Statistics,680,0.9780373092467675,0.98% (680)
Federal,Agriculture,667,0.9593395371582263,0.96% (667)
City,Transportation,608,2.8501781361335086,2.85% (608)
Federal,and Operational Data,598,0.8600975160728925,0.86% (598)
Federal,Basic Statistics,598,0.8600975160728925,0.86% (598)
Federal,Use,598,0.8600975160728925,0.86% (598)
Federal,NNDSS,590,0.8485911947876364,0.85% (590)
State,Transportation,576,1.9010528400277238,1.90% (576)
Federal,Roadways and Bridges,492,0.7076387590432494,0.71% (492)
City,Finance,477,2.2360772548284267,2.24% (477)
Federal,Space Science,442,0.6357242510103989,0.64% (442)
State,Economy and Demographics,425,1.4026865573121226,1.40% (425)
Federal,NCHS,404,0.5810692249054324,0.58% (404)
State,Public Safety,390,1.2871711937687713,1.29% (390)
Federal,Management/Operations,379,0.5451119708890072,0.55% (379)
State,Government,360,1.1881580250173274,1.19% (360)
Federal,energy,353,0.5077164267119249,0.51% (353)
Federal,Automobiles,324,0.4660060120528715,0.47% (324)
State,Government and Taxes,311,1.0264365160566356,1.03% (311)
State,education,308,1.016535199181491,1.02% (308)
Federal,Aqua,307,0.4415550793217023,0.44% (307)
City,Environment,303,1.4204012750796924,1.42% (303)
Federal,BOREAS,303,0.4358019186790743,0.44% (303)
State,Government & Finance,292,0.9637281758473877,0.96% (292)
City,Geospatial,287,1.3453965872867055,1.35% (287)
State,Accountable Government Act,285,0.9406251031387175,0.94% (285)
State,Natural Resources & Environment,284,0.937324664180336,0.94% (284)
County,Finance,270,2.4795665350353566,2.48% (270)
